Company_name,Trading_name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change Percentage,52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
Bangladesh Building Systems Ltd.,BBS,21.90,21.90,3:45 PM,21.30 - 22.10,0.2,9.95,0.92%,15.50 - 31.70,21.40,"462,528.00",21.70,357,21.70,"3,535.575","5,000.00","08 Oct, 2013","1,629.30",Equity,10.0,1,"162,929,733",Engineering,"Configure Bepari Tower (4th Floor), 64/GA,  Middle Badda, Progati Sarani, Dhaka-1212","02-222294771, 222295915, 222288916, 222298917, 02-222264475",02-222264476,mohsin@bbspeb.com,http://www.bbspeb.com,Mohammad Mohsin,01713114558,+88-02-9854475 (Ext.103),mohsin@bbspeb.com
BBS Cables Limited,BBSCABLES,52.90,52.90,3:45 PM,51.90 - 53.90,0,9.39,0.00%,51.70 - 83.70,53.40,"177,592.00",52.90,311,52.90,"10,666.140","3,000.00","31 Jul, 2017","2,016.28",Equity,10.0,1,"201,628,350",Engineering,"Configure Bapari Tower (3rd Floor), Ga-64, Middle Badda, Dhaka-1212.","02-222294771, 222295915, 222288916, 222298917, 02-222264475","02-222260772, 02-222264476",secretary@bbscables.com.bd,http://www.bbscables.com.bd,Golam Habib,01717968746,"02984475, Ext: 102",habib@bbscables.com.bd
Bangladesh Autocars Ltd.,BDAUTOCA,138.30,138.30,3:45 PM,136.50 - 139.00,-0.9,6.16,-0.65%,120.00 - 198.00,139.00,"44,941.00",139.20,218,139.20,602.181,100.00,,43.26,Equity,10.0,1,"4,326,013",Engineering,"110, Tejgaon I/A, Dhaka - 1208",8870467-8,88 - 02 - 8870469,info@bdautocars110.com,http://www.bdautocars.com/,Md. Shariful Islam,01730714732,,cs@bdautocars110.com
BDCOM Online Ltd.,BDCOM,30.50,30.50,3:45 PM,30.10 - 30.90,-0.2,34.90,-0.65%,22.00 - 47.40,30.70,"1,149,094.00",30.70,917,30.70,"1,752.556","1,000.00",,570.86,Equity,10.0,1,"57,086,500",IT Sector,"JL Bhaban (4th & 5th floor) House # 01, Road # 01, Gulshan Avenue, Gulshan # 1, Dhaka - 1212","09666333666, '09666333697 09666333699 01713339850 01716057251",,bdcomshare@office.bdcom.com,http://www.bdcom.com,A.K.M. Kutub Uddin,01741896081,09666333610,kutub@office.bdcom.com
Bangladesh Finance Limited,BDFINANCE,43.70,43.70,3:45 PM,41.80 - 44.00,1.1,10.41,2.58%,38.20 - 73.00,41.80,"247,547.00",42.60,129,42.60,"8,018.865","6,000.00",,"1,882.36",Equity,10.0,1,"188,236,267",Financial Institutions,"Baitul Hossain Building (2nd Floor), 27, Dilkusha C/A, Dhaka-1000, Bangladesh",+88 02223385097,+88 02 9566493,info@bd.finance,http://www.bd.finance,"Munshi Abu Naim, ACS",01618 448756,+88 02223385097,naim@bd.finance
Bangladesh Lamps Limited,BDLAMPS,257.00,257.00,3:45 PM,254.00 - 261.50,-2.1,9.13,-0.81%,167.10 - 372.00,259.10,"35,747.00",259.10,321,259.10,"2,427.925",500.00,,94.00,Equity,10.0,1,"9,370,608",Engineering,"House # 22, Road # 4, Block # F, Banani, Dhaka-1213","9855371-80, 55052072",9887373,ruhan.miah@transcombd.com,http://www.bll.com.bd,Mohammad Ruhan Miah,01817042431,55052072,ruhan.miah@transcombd.com
Bd.Thai Aluminium Ltd.,BDTHAI,17.20,17.20,3:45 PM,16.80 - 17.50,0.1,5.83,0.58%,16.40 - 31.50,17.50,"339,853.00",17.10,284,17.10,"2,184.957","2,000.00",,"1,277.75",Equity,10.0,1,"127,775,250",Engineering,"BTA Tower,  Building #  29, Kemal Ataturk Avenue,  Road # 17,  Banani C/A, Dhaka - 1213","9821574-77, Ext-148",88-02-9821573,bta@btaalu.com,http://www.btaalu.com,Ashim Kumar Barua,1711405181,"9821574-77, Ext-146",ashimkumar745@gmail.com
BD Thai Food & Beverage Limited,BDTHAIFOOD,35.40,35.40,3:45 PM,34.20 - 35.60,0.6,8.43,1.72%,11.00 - 49.80,34.20,"241,349.00",34.80,392,34.80,"2,836.200","1,000.00","24 Jan, 2022",815.00,Equity,10.0,1,"81,500,000",Food & Allied,"BTA Tower (8th Floor), 29 Kemal Ataturk Avenue, Road no.-17, Banani C/A, Dhaka-1213",+880-02-222275571,+880-02-9821573,info@btfbl.com,http://www.btfbl.com,Md. Habibur Rahman,01713155102,,cs@btfbl.com
Bangladesh Welding Electrodes Ltd.,BDWELDING,22.40,22.40,3:45 PM,22.00 - 22.70,0,6.48,0.00%,15.80 - 26.80,22.10,"292,360.00",22.40,276,22.40,971.024,500.00,,433.49,Equity,10.0,1,"43,349,305",Fuel & Power,"Mukta Bangla Shopping Complex\r\nSpace No. 189-192\r\n7th Floor, East Side\r\nMirpur Section-1\r\nDhaka-1216.","9551490, 9561236",880 - 02 - 9561236,ceo@bwel.com,http://www.bwelbd.com,,,,
Beach Hatchery Ltd.,BEACHHATCH,42.10,42.10,3:45 PM,42.10 - 43.60,-0.8,3.69,-1.86%,17.00 - 49.00,42.10,"87,284.00",42.90,148,42.90,"1,776.104","2,000.00",,414.00,Equity,10.0,1,"41,401,021",Food & Allied,"House# B-139 (3rd Flr), Road#22, DOHS, Mohakhali, Dhaka",9833506,9833507,msfldhaka@gmail.com,http://bhlbd.net,Md.Nur Islam,1714034997,9833506,msfldhaka@gmail.com
Beacon Pharmaceuticals Limited,BEACONPHAR,256.90,251.00,3:45 PM,239.90 - 258.00,12.2,18.39,4.99%,172.50 - 307.00,239.90,"73,561.00",244.70,241,244.70,"56,525.700","3,000.00","12 Aug, 2010","2,310.00",Equity,10.0,1,"231,000,000",Pharmaceuticals & Chemicals,"9/B/2, Toyenbee Circular Road, Motijheel C/A, Dhaka-1000.","+880-2-57165371-6, Ext-102",+880-2-57165379-80,beacon@beaconpharma.com.bd,http://www.beaconpharma.com.bd,Mr. Khalilur Rahman ACS,01730025982,"57165371-6, Ext-102",khalilur-acc@beaconpharma.com.bd
Bengal Windsor Thermoplastics Ltd.,BENGALWTL,22.10,22.10,3:45 PM,21.70 - 22.20,0,2.95,0.00%,20.40 - 32.50,21.80,"134,675.00",22.10,135,22.10,"2,021.620","1,000.00","16 Apr, 2013",914.76,Equity,10.0,1,"91,476,000",Engineering,"Bengal House, 75 Gulshan Avenue, Gulshan 1,Dhaka-1212",9888248-49 Ext-1368,29847507,caffairs1@bengal.com.bd,http://www.windsor.bengalgroup.com,"Rajib Chakraborty, ACS",01971044199,9888248-49 Ext-1041,rchakraborty@bengal.com.bd
Berger Paints Bangladesh Ltd.,BERGERPBL,"1,735.00","1,701.00",3:45 PM,"1,675.10 - 1,735.00",26.6,2.81,1.56%,"1,650.00 - 1,940.90","1,702.00","1,654.00","1,708.40",79,"1,708.40","79,231.970","1,000.00",,463.78,Equity,10.0,1,"46,377,880",Miscellaneous,"Berger House#8, Road#2,Sector#3,Uttara Model Town, Dhaka-1230","+88-2-48953665, +88-2-48953665",+88-02-48951350,info@bergerbd.com,https://www.bergerbd.com,Khandker Abu Jafar Sadique,01713279723,+88-2-48953665,jafar@bergerbd.com
Beximco Green Sukuk Al Istisna'a,BEXGSUKUK,86.00,86.00,3:45 PM,85.50 - 86.00,0.5,7.77,0.58%,85.00 - 110.00,85.50,"90,482.00",85.50,65,85.50,"25,650.000",-,"13 Jan, 2022","30,000.00",Corporate Bond,100.0,1,"300,000,000",Corporate Bond,,,,-,,,,,
Bangladesh Export Import Company Ltd.,BEXIMCO,116.00,116.00,3:45 PM,112.10 - 116.60,1.7,453.22,1.49%,88.60 - 187.90,112.50,"3,987,377.00",114.30,"3,321",114.30,"100,163.248","10,000.00",,"8,763.19",Equity,10.0,1,"876,318,879",Miscellaneous,"17, Dhanmondi R/A, Road # 02, Dhaka - 1205","58611891-5, 58612040-7 , 58611891-5, 58612040-7, Ext.10149","58613470, 9615523",bexcsd@beximco.net,http://www.beximco.com,"MR. MOHAMMAD ASAD ULLAH, FCS",01711522029,"58611891-5, 58612040-7,  Ext.-10140",csdbexim@bol-online.com
Bangladesh General Insurance Company Ltd.,BGIC,37.30,37.30,3:45 PM,37.30 - 38.00,-0.7,1.24,-1.84%,37.30 - 65.00,38.00,"33,079.00",38.00,76,38.00,"2,053.036","1,000.00",,540.27,Equity,10.0,1,"54,027,255",Insurance,"42, Dilkusha C/A, Dhaka - 1000","02223380379, 02223383056-8",02223384212,bgicinsurance@yahoo.com,http://www.bgicinsure.com,Saifuddin Ahmed,01715-246961,02223383057,ahmedsaifuddin@yahoo.com
Bangladesh National Insurance Company Limited,BNICL,56.60,56.60,3:45 PM,56.60 - 58.00,-1.1,7.32,-1.91%,56.60 - 171.90,56.60,"129,242.00",57.70,194,57.70,"2,553.225","1,000.00","21 Apr, 2016",442.50,Equity,10.0,1,"44,250,000",Insurance,"Rashid Tower (3rd floor),rnHoue No. 11, Road No. 18 , Gulshan-1,Dhaka-1212","8832234-5, 8832215, 8832217, 9555704, 01713013710",88-02-8832154,mail@bnicl.net,http://www.bnicl.net,Md. Masud Rana,01711582560,"01713-013710, 8832215, 8832217",cs@bnicl.net
Bashundhara Paper Mills Limited,BPML,50.20,50.20,3:45 PM,49.00 - 50.50,0.2,9.23,0.40%,42.10 - 72.60,49.10,"186,253.00",50.00,280,50.00,"8,689.572","5,000.00","02 Jul, 2018","1,737.91",Equity,10.0,1,"173,791,441",Paper & Printing,"Bashundhara Industrial Headquarters-2,rnPlot#56/A, Block #C Umme Kulsum Road, BashundharaR/A, Dhaka-1229","+ 88 02 8432289-93, + 88 02 8432289-93",+ 88 02 8432305,info.paper@bg.com.bd,http://www.bashundharapapermills.com,M. Mazedul Islam,01766694713,"+88 02 8432289-93, ext-4452",mazedul.islam@bg.com.bd
Baraka Patenga Power Limited,BPPL,29.40,29.40,3:45 PM,29.10 - 29.90,-0.2,6.61,-0.68%,29.10 - 55.00,29.10,"226,511.00",29.60,425,29.60,"5,120.666","3,000.00","15 Jul, 2021","1,729.95",Equity,10.0,1,"172,995,488",Fuel & Power,"6/A/I (1st & 2nd floor), Segunbagicha, Dhaka-1000, Bangladesh","+88-02-223380339, 47115792",+88-02-223383117,info@bpplbd.com,http://www.bpplbd.com,Mohammad Rana,'01531548499,"'+88-02-223380339, 47115792 (Ext. 115)",rana@barakapower.com
BRAC Bank Ltd.,BRACBANK,38.90,38.90,3:45 PM,37.90 - 39.10,0.7,14.59,1.83%,37.30 - 61.50,37.90,"380,220.00",38.20,348,38.20,"57,169.560","20,000.00",,"14,965.80",Equity,10.0,1,"1,496,585,328",Bank,"Anik Tower, 220/B, Tejgaon I/A, Tejgaon Gulshan Link Road,  Dhaka-1208","09677555124, 09677555125",+88 02 222298910,enquiry@bracbank.com; sharedept@bracbank.com,http://www.bracbank.com,Mohammad Mahbubur Rahman FCS,01713060835,09677552038; or Ext. 52038,mahbubur.rahman@bracbank.com
Bangladesh Shipping Corporation,BSC,107.90,107.90,3:45 PM,104.40 - 108.60,1.4,55.91,1.31%,43.80 - 155.90,108.40,"526,339.00",106.50,"1,181",106.50,"16,244.982","10,000.00",,"1,525.35",Equity,10.0,1,"152,535,040",Miscellaneous,"BSC Bhaban, Saltgola Road, P.O Box # 641, Chattogram- 4100.","01675325248, 031-724479","031-724479,  031-722380",secybsc@gmail.com,http://www.bsc.gov.bd,Muhammad Ashraf Hossain,'01711204177,'031-724479,secy@bsc.gov.bd
Bangladesh Submarine Cable Company Limited,BSCCL,219.80,219.80,3:45 PM,213.50 - 221.70,2.1,22.65,0.96%,175.00 - 256.00,218.40,"104,353.00",217.70,380,217.70,"35,899.930","10,000.00","14 Jun, 2012","1,649.06",Equity,10.0,1,"164,905,510",Telecommunication,"Rahmans\' Regnum Center (7th & 8th Floor), 191, Tejgaon-Gulshan Link Road, Dhaka-1208.","880-2-8879194-95, 8879192, 880-2-8878162","880-2-8879193, 880-2-9333125",cs@bsccl.com,http://www.bsccl.com.bd,Md. Abdus Salam Khan,01552369905,880-2-8879240,cs@bsccl.com
Bangladesh Steel Re-Rolling Mills Limited,BSRMLTD,91.50,90.30,3:45 PM,87.70 - 91.50,2.1,4.80,2.35%,87.00 - 124.50,87.70,"54,105.00",89.40,187,89.40,"26,693.466","5,000.00","27 Apr, 2015","2,985.85",Equity,10.0,1,"298,584,626",Engineering,"Corporate Office: Ali Mansion, 1207/1099, Sadarghat Road, Chattogram- 4000.rnDhaka Office: Nasiruddin Tower (4th Floor), Bir Uttam Samsul Alam Road, 104/1, Kakrail Dhaka -1000.",+880 2333354901-10,+02333360301,shekhar.kar@bsrm.com,http://www.bsrm.com,Shekhar Ranjan Kar FCA,01711790266,"+880 31 2854901-10, Ext.- 156",shekhar.kar@bsrm.com
BSRM Steels Limited,BSRMSTEEL,64.90,64.70,3:45 PM,62.30 - 65.00,1.5,1.38,2.37%,57.50 - 82.50,63.00,"21,796.00",63.40,108,63.40,"23,835.389","5,000.00",,"3,759.53",Equity,10.0,1,"375,952,500",Engineering,"Corp.Office: Ali Mansion 1207/1099,Sadarghat Road, Chattogram. rnDhaka Office: Nasiruddin Tower,(4th floor), Bir Uttam Samsul Alam Road, 104/1, Kakril Dhaka-1000.",02333354901-10,02333360301,shekhar.kar@bsrm.com,http://www.bsrm.com,Shekhar Ranjan Kar FCA,01711790266,"+880 31 2854901-10, Ext.- 156",shekhar.kar@bsrm.com
Beximco Pharmaceuticals Ltd.,BXPHARMA,146.20,146.20,3:45 PM,140.70 - 146.60,2.7,57.07,1.88%,140.70 - 255.40,145.30,"396,956.00",143.50,"1,044",143.50,"64,017.085","15,000.00",,"4,461.12",Equity,10.0,1,"446,112,089",Pharmaceuticals & Chemicals,"17,Road # 02, Dhanmondi R/A,   Dhaka - 1209","58611891-5, 58612040-7 , 58611891-5, 58612040-7 Ext.10133","58613470, 9615523",bplcsd@beximco.net,http://www.beximcopharma.com,"MR. MOHAMMAD ASAD ULLAH, FCS",01711522029,"58611891-5, 58612040-7  Ext.-10140",csdbexim@bol-online.com
CAPM BDBL Mutual Fund 01,CAPMBDBLMF,10.10,9.90,3:45 PM,9.80 - 10.20,0.2,1.01,2.02%,8.80 - 15.00,10.00,"101,856.00",9.90,67,9.90,496.297,-,"12 Jan, 2017",501.00,Mutual Fund,10.0,1,"50,131,000",Mutual Funds,"Safura Tower, 20, Kemal Ataturk Avenue, Banani C/A, Dhaka- 1213.","02-222291611, 02-222282269",02222274990,contact@capmbd.com,http://www.capmbd.com,,,,
CAPM IBBL Islamic Mutual Fund,CAPMIBBLMF,14.20,14.20,3:45 PM,14.00 - 14.50,0.2,1.04,1.43%,12.00 - 24.40,14.50,"73,938.00",14.00,69,14.00,935.949,-,"05 Mar, 2018",668.53,Mutual Fund,10.0,1,"66,853,500",Mutual Funds,"CAPM Company Limited, Safura Tower (5th Floor), 20 Kemal Ataturk Avenue, Banani C/A, Dhaka-1205","02-222291611, 02-222282269",02222274990,contact@capmbd.com,http://www.capmbd.com,,,,
Central Insurance Company Ltd.,CENTRALINS,37.00,37.00,3:45 PM,36.50 - 37.40,-0.2,0.76,-0.54%,36.50 - 71.50,36.50,"20,628.00",37.20,78,37.20,"1,976.987","1,000.00",,531.45,Equity,10.0,1,"53,144,823",Insurance,"Central Insurance Bhabanrn7-8, Motijheel C/A, Dhaka-1000","9564251-4, 02-9554778",88-02-9567421-2,-,http://www.cicl-bd.com,Mr. Md. Jafar Ali FCS,01766535422,9578390,jafarali@cicl-bd.com
Central Pharmaceuticals Limited,CENTRALPHL,12.60,12.60,3:45 PM,12.20 - 12.70,0.2,6.12,1.61%,11.60 - 23.30,12.20,"495,970.00",12.40,285,12.40,"1,485.530","3,000.00","14 Aug, 2013","1,198.01",Equity,10.0,1,"119,800,844",Pharmaceuticals & Chemicals,"2-A/1, South-West Darus Salam Road, Mirpur-1, Dhaka-1216","+88-02-58056079, +88-02-48040674",,"info@centralphl.com, cplho1980@gmail.com",http://www.centralphl.com,Md. Tajul Islam,01814655831,02-9038733 Ext. 102,cplho1980@gmail.com
The City Bank Ltd.,CITYBANK,21.80,21.80,3:45 PM,21.70 - 22.00,0,11.24,0.00%,21.70 - 30.60,22.00,"516,795.00",21.80,216,21.80,"26,173.227","15,000.00",,"12,006.10",Equity,10.0,1,"1,200,606,743",Bank,"136, Bir Uttam Road, Gulshan Avenue, Gulshan-2, Dhaka-1212. SHARE OFFICE: 11, Dilkhusha C/A, Dhaka-1000",02223356471 (Direct) 02223385925 (Hunting) Ext.-  129 and 136,58816332,info@thecitybank.com,http://www.thecitybank.com,Md. Kafi Khan,01788768666,"58814635 (Direct)  58813483, 58814375  and 58813126 (Hunting)  Ext.-1031",kafikhan@thecitybank.com
City General Insurance Co. Ltd.,CITYGENINS,26.00,25.60,3:45 PM,25.30 - 26.00,0.2,3.91,0.78%,24.60 - 52.20,25.80,"154,082.00",25.80,132,25.80,"1,758.686","2,000.00",,681.66,Equity,10.0,1,"68,166,122",Insurance,"Baitul Hossain Building (4th Floor), 27 Dilkusha C/A Dhaka-1000.","0222 3387296, 0222 3387281, 02223387278, 02223387247,",880 222-3357509,share@cityinsurance.com.bd,http://www.cityinsurance.com.bd,MD.Hasan Khan,01714612075,9557735 Ext. 103,cs@cityinsurance.com.bd
C & A Textiles Limited,CNATEX,10.40,10.40,3:45 PM,10.00 - 10.40,0.2,12.52,1.96%,4.90 - 11.50,10.10,"1,227,887.00",10.20,209,10.20,"2,441.023","3,000.00","21 Jan, 2015","2,393.16",Equity,10.0,1,"239,316,000",Textile,"32/A, BSCIC Industrial Estate \r\nKalurghat (Extn.),Chandgaon\r\nChittagong, Bangladesh.","+880-31-670264, 672417",+880-31-2570639,info@cnagroupbd.com,,,,,
Confidence Cement Ltd.,CONFIDCEM,95.50,94.60,3:45 PM,91.40 - 95.50,2.3,6.86,2.47%,91.40 - 167.80,92.50,"74,242.00",93.20,283,93.20,"7,291.477","1,000.00",,782.35,Equity,10.0,1,"78,234,731",Cement,"Confidence Heights, Plot-1, Lane-1, Road-2, Block-L, Halishahar H/E, Agrabad Acces Road, Chattogram","031-711471-3, 711475, 2518962, 2510386, 9562431, 9574934","88-031-711474, 88 - 02 - 9104584",info.ccl@cg-bd.com,http://www.confidencecement.com.bd,"Md. Delowar Hossain, ACS",01704124276,"031-711471-3, 711475, 2518962, 2510386, Ext-222",delowar.hossain@cg-bd.com
Continental Insurance Ltd.,CONTININS,31.10,31.10,3:45 PM,31.10 - 31.70,-0.6,6.44,-1.89%,31.10 - 59.00,31.70,"206,921.00",31.70,145,31.70,"1,318.888",600.00,,416.05,Equity,10.0,1,"41,605,311",Insurance,"Advanced Noorani Tower (13th floor) 1, Mohakhali C/A, Dhaka -1212.",02-58817491-6,02-8170180,info@cilbd.com,http://www.cilbd.com,Mr. Ataur Rahman,01713370149,02-58817491-6,cs@cilbd.com
Coppertech Industries Limited,COPPERTECH,38.80,38.80,3:45 PM,37.60 - 39.90,0.6,27.22,1.57%,31.10 - 49.00,37.70,"702,090.00",38.20,599,38.20,"2,406.600",700.00,"05 Aug, 2019",630.00,Equity,10.0,1,"63,000,000",Engineering,"House: 214 (5th floor), Road: 13, Mohakhali DOHS, Dhaka-1206","+88-02-8715867 (ext. 123) , 8715809",+88-02-8715867,info@coppertechbd.com,http://www.coppertechbd.com,SK. Miraj Ali,01917701642,+88-02-8715867 (ext. 123),miraj@coppertechbd.com
Crown Cement PLC.,CROWNCEMNT,73.70,73.70,3:45 PM,72.10 - 74.00,0.3,1.64,0.41%,55.00 - 89.80,72.10,"22,295.00",73.40,129,73.40,"10,899.900","5,000.00",,"1,485.00",Equity,10.0,1,"148,500,000",Cement,"Delta Life Tower, (3rd & 6th Floor), Plot # 37, Road # 45 (South) & 90 (North), Gulshan-2, Dhaka-1212, Bangladesh.","+8802-222292669 (share Dept), 02-222263631, 02-222261633, 02-222262634, 02-222284636, 02-222290641",+8802-222263643,info@crowncement.com,http://www.crowncement.com,"Md. Mozharul Islam, FCS",+8801730709003,"02-222263631, 02-222261633, 02-222262634, 02-222284636, 02-222290641 Ext.- 120",cs@crowncement.com
Crystal Insurance Company Limited,CRYSTALINS,35.00,34.50,3:45 PM,34.50 - 35.00,-0.2,1.04,-0.57%,33.80 - 69.20,34.50,"30,010.00",35.20,56,35.20,"1,408.000","1,000.00","21 Dec, 2020",400.00,Equity,10.0,1,"40,000,000",Insurance,"DR Tower (14th floor),65/2/2, Box Culvert Road, Purana Paltan, Dhaka-1000",+88-02-9566889,02-9567205,info@ciclbd.com,http://www.ciclbd.com,,,,
CVO Petrochemical Refinery Limited,CVOPRL,165.60,165.60,3:45 PM,162.20 - 166.90,0.1,23.94,0.06%,108.20 - 272.00,162.20,"146,404.00",165.50,864,165.50,"4,595.852","1,500.00",,277.70,Equity,10.0,1,"27,769,500",Fuel & Power,"37, Katalgonj, Panchlaish, Chattogram.rnrnDhaka Office: Anima Vista, Flat # A-3 (3rd Floor)rn30 Topkhana Road, Paltan, Dhaka - 1200.","+88 - 031 - 650525-26, 650533, 2557201-2, Dhaka Office:  +88-02-9551968.","+88-031-650134, 2557203, Dhaka Office: +88-02-9551965",info@cvopetro.com,http://www.cvopetro.com,Khwaza Mowin Uddin Hossain,+8801713104040,"+88-031-650525-26,  650533, 2557201-2",mowin@cvopetro.com
The Dacca Dyeing & Manufacturing Co.Ltd.,DACCADYE,18.30,18.30,3:45 PM,17.60 - 18.60,0.4,11.11,2.23%,16.80 - 29.50,17.60,"615,652.00",17.90,408,17.90,"1,560.047","3,000.00",,871.53,Equity,10.0,1,"87,153,453",Textile,"Sharif Mansion (4th Floor), 56-57, Motijheel C/A, Dhaka - 1000, Bangladesh.","9558131-32, 9550355",88-02-9588705,info@dd.qc-group.com,http://www.dacca-dyeing.com,,,,
Daffodil Computers Ltd.,DAFODILCOM,66.60,66.70,3:45 PM,66.60 - 68.90,-1.3,0.17,-1.91%,56.80 - 78.00,68.90,"2,518.00",67.90,20,67.90,"3,389.043","2,000.00",,499.12,Equity,10.0,1,"49,912,262",IT Sector,"64/3, Leke Circus, Kalabang, Dhanmondi, Dhaka.","88-02-9116601,'88-02-9116602",880-2-58153690,info@daffodil-bd.com,https://daffodil-bd.com/,Md. Monir Hossain,01713493188,88-02-9116600,cs@daffodil-bd.com
Delta Brac Housing Finance Corp. Ltd.,DBH,58.00,57.90,3:45 PM,57.00 - 58.00,0.1,2.48,0.17%,57.00 - 88.50,57.70,"43,203.00",57.90,115,57.90,"11,289.942","2,000.00",,"1,949.90",Equity,10.0,1,"194,990,365",Financial Institutions,"Landmark Building (9th Floor), 12-14 Gulshan North C/A, Gulshan-2, Dhaka-1212","PABX: 09612334455, +8802 9842374, 58816001, 9882112",+8802 9882110,dbh@deltabrac.com,http://www.deltabrac.com,"Jashim Uddin, FCS",01613435138,"+8802 9842374, 58816001, 9882112, Ext. 197",jashim@deltabrac.com
DBH First Mutual Fund,DBH1STMF,7.00,7.00,3:45 PM,6.90 - 7.10,0,0.50,0.00%,6.90 - 10.00,7.00,"71,063.00",7.00,47,7.00,840.000,-,,"1,200.00",Mutual Fund,10.0,1,"120,000,000",Mutual Funds,"LR Global Bangladesh Asset Management Company Ltd. Concord IK Tower (4th Floor), Plot # 2, Bock # CEN(A), Gushan-2, Dhaka-1212, Bangladesh.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",(+8802) 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
Delta Life Insurance Company Ltd.,DELTALIFE,136.00,136.00,3:45 PM,136.00 - 136.00,-2.7,45.08,-1.95%,110.00 - 239.00,136.00,"331,459.00",138.70,380,138.70,"17,164.125","5,000.00",,"1,237.50",Equity,10.0,1,"123,750,000",Insurance,"Delta Life Tower, Plot # 37, Road # 90rnGulshan Circle-2, Dhaka-1212","'09613666000, 55051919 Ext. 271","88-02-8831739, 9899605",info@deltalife.org,http://www.deltalife.org,"Uttam Kumar Sadhu, FCMA, FCS",'+8801713406080,"09613666000, 55051919 Ext. 341",uttam.kumar@deltalife.org
Delta Spinners Ltd.,DELTASPINN,8.70,8.70,3:45 PM,8.50 - 8.80,0.1,13.36,1.16%,7.60 - 13.70,8.50,"1,557,062.00",8.60,436,8.60,"1,431.745","1,750.00",,"1,664.82",Equity,10.0,1,"166,481,964",Textile,"254-B, Khilgaon Chowdhury PararnDhaka-1219","47213597, 47213697",,delta.spinners@yahoo.com,http://www.delta-spinners.com.,Mr. Masudur Rahman,01711-541132,"47213597, 47213697  Ext. No. 107",delta.spinners@gmail.com
Dhaka Electric Supply Company Ltd.,DESCO,36.40,36.50,3:45 PM,36.20 - 36.90,-0.5,1.24,-1.36%,34.00 - 47.60,36.90,"34,152.00",36.90,96,36.90,"14,670.326","20,000.00",,"3,975.70",Equity,10.0,1,"397,569,804",Fuel & Power,"22/B, Faruk Sarani, Nikunja-2rnKhilkhet, Dhaka-1229","8900110-11 8900820-23, 8900330",8900100,csdesco@desco.org.bd,http://www.desco.org.bd,Engr. Md. Atiqur Rahman,02-8900330,8900110-11 (Ext. 221) 8900330,csdesco@desco.org.bd
Deshbandhu Polymer Limited,DESHBANDHU,19.00,18.80,3:45 PM,18.40 - 19.00,0.3,9.12,1.60%,15.10 - 29.80,18.40,"488,670.00",18.70,363,18.70,"1,147.528","3,000.00",,613.65,Equity,10.0,1,"61,365,150",Engineering,"Mostafa Center, House No 59, Road No 27, Block K, Banani, Dhaka 1213, Bangladesh.","+88-02-58816731, 1713375251",+88 02  8815571,cs@deshbandhugroup.com.bd,http://www.deshbandhupolymer.com,Mr.Liakat Ali,1713375221,"+88-02-58816731 ,Ext.-221",cs@deshbandhugroup.com.bd
Desh General Insurance Company Limited,DGIC,27.80,27.80,3:45 PM,26.80 - 29.20,0.5,1.07,1.83%,26.80 - 52.90,29.20,"38,867.00",27.30,62,27.30,"1,092.000","1,000.00","29 Mar, 2021",400.00,Equity,10.0,1,"40,000,000",Insurance,"Jiban Bima Bhaban,Level# 5, Front Block,10 Dilkusha C/A, Dhaka – 1000",02-9571642-5,02-9561920,info@deshinsurancebd.com,http://www.deshinsurancebd.com,,,,
Dhaka Bank Ltd.,DHAKABANK,13.20,13.20,3:45 PM,13.10 - 13.30,0,3.93,0.00%,13.00 - 16.90,13.10,"298,675.00",13.20,138,13.20,"12,535.047","10,000.00",,"9,496.25",Equity,10.0,1,"949,624,754",Bank,"Head & Share Office: Plot #CWS(C)-10, Bir uttam A.K. Khandakar Road, Gulshan, Dhaka-1212.",+8802 5831 4424-30  (Ext. 243),+8802 5831 4419,hobss@dhakabank.com.bd,http://www.dhakabankltd.com,Mr. Md. Shahjahan Miah,01713 038522,8802 5831 4424-30 (Ext. 241),shahjahan.miah@dhakabank.com.bd
Dhaka Insurance Limited,DHAKAINS,48.10,48.50,3:45 PM,48.10 - 49.00,-0.9,3.19,-1.84%,48.10 - 87.60,49.00,"66,182.00",49.00,94,49.00,"1,966.125","1,200.00",,401.25,Equity,10.0,1,"40,125,000",Insurance,"71, Purana Paltan LinernDhaka-1000",58316139-43,58316144-45,contact@dhakainsurancebd.com,http://www.dhakainsurancebd.com,Mohammad Ahsan Ullah,1819165454,58316139-43  Ex: 205,ahsanullah1964@gmail.com
